entry_date,title,artist,peak,peak_date,weeks_top_ten,year,spotify_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
September 22,"""Devoted to You""",The Everly Brothers,10,September 22,1,1958,spotify:track:4FrMb1ckGBrhARbHySQKx5,0.587,0.34,3.0,-9.387,1.0,0.0256,0.834,0.0,0.0955,0.526,90.523,audio_features,4FrMb1ckGBrhARbHySQKx5,spotify:track:4FrMb1ckGBrhARbHySQKx5,https://api.spotify.com/v1/tracks/4FrMb1ckGBrhARbHySQKx5,https://api.spotify.com/v1/audio-analysis/4FrMb1ckGBrhARbHySQKx5,141040.0,4.0
September 29,"""Summertime Blues""",Eddie Cochran,8,September 29,2,1958,spotify:track:3oAWTk92mZBxKBOKf8mR5v,0.714,0.886,11.0,-8.629,0.0,0.0554,0.116,0.184,0.18,0.954,156.351,audio_features,3oAWTk92mZBxKBOKf8mR5v,spotify:track:3oAWTk92mZBxKBOKf8mR5v,https://api.spotify.com/v1/tracks/3oAWTk92mZBxKBOKf8mR5v,https://api.spotify.com/v1/audio-analysis/3oAWTk92mZBxKBOKf8mR5v,119360.0,4.0
September 29,"""Near You""",Roger Williams,10,September 29,3,1958,spotify:track:0aVMdNotlKqTs5eVAomnBw,0.768,0.158,7.0,-14.752,1.0,0.0391,0.678,0.69,0.0833,0.545,122.817,audio_features,0aVMdNotlKqTs5eVAomnBw,spotify:track:0aVMdNotlKqTs5eVAomnBw,https://api.spotify.com/v1/tracks/0aVMdNotlKqTs5eVAomnBw,https://api.spotify.com/v1/audio-analysis/0aVMdNotlKqTs5eVAomnBw,167147.0,4.0
October 6,"""Tea for Two Cha Cha""",Tommy Dorsey,7,November 3,6,1958,spotify:track:3QWUoUlkbCJPAD0YhLjtLS,0.907,0.732,8.0,-11.093,1.0,0.127,0.2,0.43,0.104,0.646,118.463,audio_features,3QWUoUlkbCJPAD0YhLjtLS,spotify:track:3QWUoUlkbCJPAD0YhLjtLS,https://api.spotify.com/v1/tracks/3QWUoUlkbCJPAD0YhLjtLS,https://api.spotify.com/v1/audio-analysis/3QWUoUlkbCJPAD0YhLjtLS,175217.0,4.0
October 13,"""The End""",Earl Grant,7,October 13,3,1958,spotify:track:79Iwb8D1mlLHzyrTzuA3cw,0.286,0.253,0.0,-12.372,1.0,0.0385,0.693,1.19e-05,0.155,0.329,178.045,audio_features,79Iwb8D1mlLHzyrTzuA3cw,spotify:track:79Iwb8D1mlLHzyrTzuA3cw,https://api.spotify.com/v1/tracks/79Iwb8D1mlLHzyrTzuA3cw,https://api.spotify.com/v1/audio-analysis/79Iwb8D1mlLHzyrTzuA3cw,140800.0,3.0
October 20,"""Topsy, Part 2""",Cozy Cole,3,October 20,8,1958,spotify:track:6QPesyILXONwLjJzXbkHuQ,0.531,0.841,7.0,-7.873,1.0,0.0397,0.496,0.567,0.328,0.527,92.508,audio_features,6QPesyILXONwLjJzXbkHuQ,spotify:track:6QPesyILXONwLjJzXbkHuQ,https://api.spotify.com/v1/tracks/6QPesyILXONwLjJzXbkHuQ,https://api.spotify.com/v1/audio-analysis/6QPesyILXONwLjJzXbkHuQ,214653.0,4.0
October 20,"""Its Only Make Believe""",Conway Twitty,1,November 10,10,1958,spotify:track:1xVOttVNT27FBTD8iHjOfU,0.461,0.466,11.0,-9.627,1.0,0.0598,0.86,2.76e-05,0.135,0.251,128.537,audio_features,1xVOttVNT27FBTD8iHjOfU,spotify:track:1xVOttVNT27FBTD8iHjOfU,https://api.spotify.com/v1/tracks/1xVOttVNT27FBTD8iHjOfU,https://api.spotify.com/v1/audio-analysis/1xVOttVNT27FBTD8iHjOfU,132027.0,4.0
October 20,"""Tom Dooley""",The Kingston Trio,1,November 17,12,1958,spotify:track:2qLxtO0iaFGI9x19vU3bDI,0.649,0.144,4.0,-13.986,1.0,0.0418,0.806,4.55e-06,0.105,0.458,125.74,audio_features,2qLxtO0iaFGI9x19vU3bDI,spotify:track:2qLxtO0iaFGI9x19vU3bDI,https://api.spotify.com/v1/tracks/2qLxtO0iaFGI9x19vU3bDI,https://api.spotify.com/v1/audio-analysis/2qLxtO0iaFGI9x19vU3bDI,183973.0,4.0
October 20,"""Chantilly Lace""",The Big Bopper,6,November 3,5,1958,spotify:track:07GtDOCxmye5KDWsTSACPk,0.489,0.806,3.0,-6.054,1.0,0.0858,0.841,2.96e-05,0.0687,0.944,172.269,audio_features,07GtDOCxmye5KDWsTSACPk,spotify:track:07GtDOCxmye5KDWsTSACPk,https://api.spotify.com/v1/tracks/07GtDOCxmye5KDWsTSACPk,https://api.spotify.com/v1/audio-analysis/07GtDOCxmye5KDWsTSACPk,145267.0,4.0
November 10,"""To Know Him Is to Love Him""",The Teddy Bears,1,December 1,11,1958,spotify:track:5msxn2HUcd83qOsuQW7Kdb,0.26,0.312,2.0,-9.614,1.0,0.0303,0.939,3.66e-05,0.1,0.396,174.392,audio_features,5msxn2HUcd83qOsuQW7Kdb,spotify:track:5msxn2HUcd83qOsuQW7Kdb,https://api.spotify.com/v1/tracks/5msxn2HUcd83qOsuQW7Kdb,https://api.spotify.com/v1/audio-analysis/5msxn2HUcd83qOsuQW7Kdb,144840.0,3.0
