id,name,link
4253CYZUaHYyMtFaOMyWvE,Top Singles: 1963 - 1964,https://open.spotify.com/playlist/4253CYZUaHYyMtFaOMyWvE
0tMA2epDkbdwboweCUWjJE,Top Singles: 1964 - 1965,https://open.spotify.com/playlist/0tMA2epDkbdwboweCUWjJE
5WYYwWt5ZGPFfVRqFbqFdY,Top Singles: 1965 - 1966,https://open.spotify.com/playlist/5WYYwWt5ZGPFfVRqFbqFdY
6qxvst9YpBEQGxJYoQzC2j,Top Singles: 1966 - 1967,https://open.spotify.com/playlist/6qxvst9YpBEQGxJYoQzC2j
4Jj6hsIeIkEqAsn0beObDj,Top Singles: 1967 - 1968,https://open.spotify.com/playlist/4Jj6hsIeIkEqAsn0beObDj
73iRQVXq6vuMedYFdxcP0k,Top Singles: 1968 - 1969,https://open.spotify.com/playlist/73iRQVXq6vuMedYFdxcP0k
7cc2DdJjLzoMIQ5A6uq9tK,Top Singles: 1969 - 1970,https://open.spotify.com/playlist/7cc2DdJjLzoMIQ5A6uq9tK
6Wz5jF1aLdB6ZaSBJgBCIW,Top Singles: 1970 - 1971,https://open.spotify.com/playlist/6Wz5jF1aLdB6ZaSBJgBCIW
50nAlUkoMIBfMso64BspAW,Top Singles: 1971 - 1972,https://open.spotify.com/playlist/50nAlUkoMIBfMso64BspAW
2lMTaa3VSbKBxpOkGQj3lN,Top Singles: 1972 - 1973,https://open.spotify.com/playlist/2lMTaa3VSbKBxpOkGQj3lN
5IYB3iqGPmuTvJgC7cjogp,Top Singles: 1973 - 1974,https://open.spotify.com/playlist/5IYB3iqGPmuTvJgC7cjogp
6Jzxs6TKn0Lx7ZqFyasm8s,Top Singles: 1974 - 1975,https://open.spotify.com/playlist/6Jzxs6TKn0Lx7ZqFyasm8s
0Q98JAMH6dahp3dQvW5XaR,Top Singles: 1975 - 1976,https://open.spotify.com/playlist/0Q98JAMH6dahp3dQvW5XaR
5ghgY0HWLxX9jghgOQezWQ,Top Singles: 1976 - 1977,https://open.spotify.com/playlist/5ghgY0HWLxX9jghgOQezWQ
11cUUUVg9ezt6UXH07Gvj7,Top Singles: 1977 - 1978,https://open.spotify.com/playlist/11cUUUVg9ezt6UXH07Gvj7
0xvtxpeHaS4bOY1zfyVhYL,Top Singles: 1978 - 1979,https://open.spotify.com/playlist/0xvtxpeHaS4bOY1zfyVhYL
2hPssejVleagORjKQSZawu,Top Singles: 1979 - 1980,https://open.spotify.com/playlist/2hPssejVleagORjKQSZawu
2XGEXRl9IarEO3d0CXIYS5,Top Singles: 1980 - 1981,https://open.spotify.com/playlist/2XGEXRl9IarEO3d0CXIYS5
0FsiTikefpkVCSVnTQmj6x,Top Singles: 1981 - 1982,https://open.spotify.com/playlist/0FsiTikefpkVCSVnTQmj6x
0ij35iDe7b79F4TfYjxjWr,Top Singles: 1982 - 1983,https://open.spotify.com/playlist/0ij35iDe7b79F4TfYjxjWr
6Lp02zlZlbK9JHTkfOJKyj,Top Singles: 1983 - 1984,https://open.spotify.com/playlist/6Lp02zlZlbK9JHTkfOJKyj
